#Organism group,Host,Source type,Create date,Location,Food origin,Collection date,
Listeria monocytogenes,bovine,animal,2014-07-09T15:05:34Z,USA,Germany,1985,
Salmonella enterica,Bos taurus,animal,2023-12-21T18:51:55Z,USA:NY,,2022-11,
Salmonella enterica,Bos taurus,animal,2023-12-21T18:51:55Z,USA:VT,,2022-11,
Salmonella enterica,Bos taurus,animal,2023-12-21T18:51:55Z,USA:NY,,2022-12,
Salmonella enterica,Bovine,animal,2023-12-25T04:52:15Z,USA:VT,USA:VT,2023,
Salmonella enterica,Bovine,animal,2023-12-25T04:52:15Z,USA:MI,USA:MI,2023,
Salmonella enterica,Bovine,animal,2023-12-26T17:51:39Z,USA:MI,,11/27/2023,
Salmonella enterica,Bovine,animal,2023-12-26T23:47:35Z,USA:MI,USA:MI,2023,
Salmonella enterica,Bovine,animal,2023-12-26T23:47:35Z,USA:MI,USA:MI,2023,
Salmonella enterica,Bovine,animal,2023-12-26T23:47:38Z,USA:MI,USA:MI,2023,
Salmonella enterica,Bovine,animal,2023-12-26T23:47:38Z,USA:KY,USA:KY,2023,
Salmonella enterica,Bovine,animal,2023-12-27T22:48:59Z,USA:KS,USA:KS,2023,
Salmonella enterica,Bovine,animal,2023-12-27T22:49:01Z,USA:ID,USA:ID,2023,
Salmonella enterica,Bovine,animal,2024-01-02T20:51:28Z,USA:TX,USA:TX,2023,
Salmonella enterica,Bovine,animal,2024-01-02T20:51:40Z,USA:GA,USA:GA,2023,
Salmonella enterica,Bovine,animal,2024-01-02T20:51:44Z,USA:TX,USA:TX,2023,
Salmonella enterica,Bovine,animal,2024-01-02T20:51:44Z,USA:PA,USA:PA,2023,
Salmonella enterica,Bovine,animal,2024-01-02T20:51:45Z,USA:NE,USA:NE,2023,
Salmonella enterica,Bovine,animal,2024-01-02T20:51:45Z,USA:TX,USA:TX,2023,
Salmonella enterica,Bovine,animal,2024-01-02T21:56:38Z,USA:TX,USA:TX,2023,
Salmonella enterica,Bovine,animal,2024-01-02T21:56:38Z,USA:WI,USA:WI,2023,
Salmonella enterica,Bovine,animal,2024-01-02T21:56:40Z,USA:WI,USA:WI,2023,
Salmonella enterica,Bovine,animal,2024-01-02T21:56:42Z,USA:FL,USA:FL,2023,
Salmonella enterica,bovine,,2024-01-03T04:01:18Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:01:25Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:01:31Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:01:37Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:02:13Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:02:20Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:02:23Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:03:17Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:03:38Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:03:52Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:04:14Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:04:15Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:04:21Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:04:36Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:04:56Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:05:04Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:05:11Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:05:11Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:06:02Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:06:07Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:06:25Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:06:24Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:06:45Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:07:49Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:07:51Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:07:57Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:07:57Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:08:03Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:08:42Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:08:48Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:08:56Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:09:23Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:09:49Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:09:56Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:10:08Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:10:12Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:10:14Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:10:19Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:11:17Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:11:24Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:11:31Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:11:38Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:11:45Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:11:51Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:11:57Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:12:03Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:12:08Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:12:10Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:12:16Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:12:23Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:12:29Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:12:35Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:13:11Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:13:18Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:13:25Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:13:30Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:13:36Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:13:42Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:17:39Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:17:47Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:18:00Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:18:08Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:18:14Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:18:30Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:18:30Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:18:37Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:18:44Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:18:49Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:19:03Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:19:22Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:19:22Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:19:41Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:19:48Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:20:09Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:20:42Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:20:55Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:21:09Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:21:15Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:21:20Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:21:36Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:22:09Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:22:29Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:22:35Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:24:52Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:24:58Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:25:04Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:25:10Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:25:13Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:25:17Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:26:13Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:26:20Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:26:26Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:26:35Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:26:42Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:27:16Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:27:23Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:27:29Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:27:36Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:27:44Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:28:09Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:28:15Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:28:21Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:28:28Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:28:34Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:29:08Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:29:15Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:29:22Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:29:28Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:29:35Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:30:13Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:30:19Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:30:26Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:30:33Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:30:40Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:30:47Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:30:55Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:31:03Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:32:19Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:33:05Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:33:12Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:33:19Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:33:20Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:33:26Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:33:32Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:33:40Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:33:54Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:34:13Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:34:20Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:34:24Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:34:33Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:34:34Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:35:08Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:35:30Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:35:39Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:36:23Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:36:23Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:36:31Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:36:50Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:36:54Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:37:44Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:37:50Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:38:01Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:38:15Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:38:41Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:39:12Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:39:19Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:39:23Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:39:25Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:40:13Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:40:40Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:40:49Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:41:04Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:41:18Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:41:18Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:41:25Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:41:31Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:41:36Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:41:36Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:41:43Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:41:52Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:43:18Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:43:25Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:43:31Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:43:38Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:43:45Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:43:53Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:43:58Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:44:05Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:44:15Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:44:16Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:44:21Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:44:22Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:44:28Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:44:29Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:44:35Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:44:42Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:45:12Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:45:19Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:45:26Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:45:32Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:45:38Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:45:44Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:45:51Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:45:59Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:47:15Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:47:20Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:47:41Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:47:47Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:48:06Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:48:20Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:48:25Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:48:27Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:48:33Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:48:37Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:48:51Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:49:00Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:49:06Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:49:09Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:49:37Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:49:43Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:49:44Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:49:52Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:50:02Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:54:21Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:54:29Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:54:34Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:54:41Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:54:46Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:54:47Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:54:53Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:54:54Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:54:59Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:55:01Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:55:07Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:56:14Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:56:21Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:56:27Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:56:34Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:56:41Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:56:46Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:56:54Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:57:00Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:57:06Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:57:13Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:57:13Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:57:20Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:57:20Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:58:17Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:58:24Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:58:31Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:58:37Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:58:44Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:58:50Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:58:56Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:59:03Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:59:10Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:59:13Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:59:17Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:59:19Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:59:24Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:59:25Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:59:31Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:59:37Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T04:59:48Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:00:09Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:00:16Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:00:22Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:00:29Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:01:12Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:01:20Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:01:27Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:01:35Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:01:53Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:02:16Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:02:20Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:02:23Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:02:28Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:03:17Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:03:23Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:03:41Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:04:00Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:04:12Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:04:20Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:04:26Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:04:49Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:04:57Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:05:04Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:05:41Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:05:48Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:05:54Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:06:07Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:06:12Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:06:39Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:06:40Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:07:10Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:07:17Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:07:17Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:07:29Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:07:47Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:08:25Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:08:38Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:08:43Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:08:57Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:09:12Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:10:22Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:10:30Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:10:37Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:10:43Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:10:49Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:11:02Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:11:11Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:11:15Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:11:17Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:11:21Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:11:23Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:11:27Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:11:29Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:12:17Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:12:22Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:12:28Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:12:34Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:12:41Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:12:48Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:12:54Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:13:00Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:13:07Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:13:11Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:14:15Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:14:21Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:14:28Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:14:34Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:14:40Z,USA:Texas,,2021,
Salmonella enterica,bovine,,2024-01-03T05:14:46Z,USA:Texas,,2021,
